Crop,temperature,Soil_Moisture,Area_in_hectares,Production_in_tons,Crop_Type,N,P,K,pH,rainfall,Yield_ton_per_hec
ragi,29.56666667,54,844.0,3070.0,kharif,50,40,20,5.36,297.66,3.637440758
sesamum,29.56666667,54,649.0,480.0,kharif,30,15,30,6.32,297.66,0.739599384
cotton,29.56666667,54,4.0,1.0,kharif,120,40,20,5.36,297.66,0.25
moong,29.56666667,54,7.0,0.1,kharif,20,40,20,5.38,297.66,0.014285714
sesamum,29.56666667,54,9.0,1.0,kharif,30,15,30,6.38,297.66,0.111111111
cotton,29.56666667,54,490.0,850.0,kharif,120,40,20,5.36,297.66,1.734693878
moong,29.56666667,54,48.0,20.0,kharif,20,40,20,5.52,297.66,0.416666667
ragi,29.56666667,54,14.0,40.0,kharif,50,40,20,5.52,297.66,2.857142857
sesamum,29.56666667,54,5779.0,1650.0,kharif,30,15,30,6.38,297.66,0.285516525
sunflower,29.56666667,54,209.0,270.0,kharif,50,60,30,5.46,297.66,1.291866029
cotton,29.56666667,54,11094.0,9220.0,kharif,120,40,20,5.42,297.66,0.831079863
moong,29.56666667,54,5231.0,2600.0,kharif,20,40,20,5.54,297.66,0.497036895
ragi,29.56666667,54,134.0,270.0,kharif,50,40,20,5.54,297.66,2.014925373
sesamum,29.56666667,54,1747.0,630.0,kharif,30,15,30,6.64,297.66,0.360618203
sunflower,29.56666667,54,147.0,140.0,kharif,50,60,30,5.56,297.66,0.952380952
cotton,29.56666667,54,1883.0,2730.0,kharif,120,40,20,5.32,297.66,1.449814126
moong,29.56666667,54,18497.0,4190.0,kharif,20,40,20,5.4,297.66,0.22652322
sesamum,29.56666667,54,1680.0,660.0,kharif,30,15,30,6.38,297.66,0.392857143
cotton,29.56666667,54,3462.0,7450.0,kharif,120,40,20,5.34,297.66,2.151935298
moong,29.56666667,54,9549.0,9210.0,kharif,20,40,20,5.36,297.66,0.9644989
ragi,29.56666667,54,1037.0,1760.0,kharif,50,40,20,5.68,297.66,1.697203472
sesamum,29.56666667,54,1821.0,1850.0,kharif,30,15,30,6.38,297.66,1.015925316
sunflower,29.56666667,54,526.0,850.0,kharif,50,60,30,5.5,297.66,1.615969582
moong,29.56666667,54,330.0,140.0,kharif,20,40,20,5.54,297.66,0.424242424
ragi,29.56666667,54,77.0,160.0,kharif,50,40,20,5.44,297.66,2.077922078
sesamum,29.56666667,54,7597.0,3910.0,kharif,30,15,30,6.5,297.66,0.514676846
sunflower,29.56666667,54,34.0,40.0,kharif,50,60,30,5.58,297.66,1.176470588
cotton,29.56666667,54,443.0,870.0,kharif,120,40,20,5.46,297.66,1.963882619
jowar,29.56666667,54,326.0,160.0,kharif,80,40,40,5.38,297.66,0.490797546
moong,29.56666667,54,37.0,20.0,kharif,20,40,20,5.46,297.66,0.540540541
