Crop,temperature,Soil_Moisture,Area_in_hectares,Production_in_tons,Crop_Type,N,P,K,pH,rainfall,Yield_ton_per_hec
Cashewnut,36.0,54,720.0,165.0,kharif,120,40,20,5.46,654.34,1.287671233
Cashewnut,36.0,54,719.0,192.0,kharif,120,40,20,5.46,654.34,1.287671233
Cashewnut,36.0,54,719.0,208.0,kharif,120,40,20,5.46,654.34,1.287671233
Cashewnut,36.0,54,717.0,208.5,kharif,120,40,20,5.46,654.34,1.287671233
Cashewnut,36.0,54,683.5,197.9,kharif,120,40,20,5.46,654.34,1.287671233
Cashewnut,36.0,54,450.0,55.8,kharif,120,40,20,5.46,654.34,1.287671233
Dry chillies,36.0,54,3.0,9.0,kharif,120,40,20,5.46,654.34,1.287671233
Black pepper,36.0,54,23.0,8.5,kharif,120,40,20,5.46,654.34,1.287671233
Banana,36.0,54,593.0,3425.0,kharif,120,40,20,5.46,654.34,1.287671233
Dry ginger,36.0,54,352.0,1120.0,kharif,120,40,20,5.46,654.34,1.287671233
Sugarcane,36.0,54,73.33,889.2,kharif,120,40,20,5.46,654.34,1.287671233
Moong(Green Gram),36.0,54,1168.6,556.55,kharif,120,40,20,5.46,654.34,1.287671233
Arecanut,36.0,54,3105.0,5267.0,kharif,120,40,20,5.46,654.34,1.287671233
Sugarcane,36.0,54,268.0,2879.52,kharif,120,40,20,5.46,654.34,1.287671233
other oilseeds,36.0,54,89.3,46.5,kharif,120,40,20,5.46,654.34,1.287671233
Dry ginger,36.0,54,200.0,1800.0,kharif,120,40,20,5.46,654.34,1.287671233
Black pepper,36.0,54,413.1,20.18,kharif,120,40,20,5.46,654.34,1.287671233
Turmeric,36.0,54,10.0,60.0,kharif,120,40,20,5.46,654.34,1.287671233
Groundnut,36.0,54,15.5,7.6,kharif,120,40,20,5.46,654.34,1.287671233
Tapioca,36.0,54,22.5,220.0,kharif,120,40,20,5.46,654.34,1.287671233
Korra,36.0,54,2200.0,700.0,kharif,120,40,20,5.46,654.34,1.287671233
Dry chillies,36.0,54,100.0,100.0,kharif,120,40,20,5.46,654.34,1.287671233
Korra,36.0,54,100.0,100.0,kharif,120,40,20,5.46,654.34,1.287671233
Jowar,36.0,54,3700.0,5800.0,kharif,120,40,20,5.46,654.34,1.287671233
Horse-gram,36.0,54,1071.0,327.0,kharif,120,40,20,5.46,654.34,1.287671233
Sesamum,36.0,54,10.0,2.0,kharif,120,40,20,5.46,654.34,1.287671233
Dry chillies,36.0,54,3755.0,10146.0,kharif,120,40,20,5.46,654.34,1.287671233
Other Kharif pulses,36.0,54,3167.0,559.0,kharif,120,40,20,5.46,654.34,1.287671233
Arhar/Tur,36.0,54,35.0,9.0,kharif,120,40,20,5.46,654.34,1.287671233
Maize,36.0,54,399.0,2148.0,kharif,120,40,20,5.46,654.34,1.287671233
Bajra,36.0,54,1595.0,526.0,kharif,120,40,20,5.46,654.34,1.287671233
Maize,36.0,54,2667.0,7129.0,kharif,120,40,20,5.46,654.34,1.287671233
Arhar/Tur,36.0,54,5.0,1.0,kharif,120,40,20,5.46,654.34,1.287671233
Moong(Green Gram),36.0,54,40.0,12.0,kharif,120,40,20,5.46,654.34,1.287671233
Arecanut,36.0,54,257.0,430.0,kharif,120,40,20,5.46,654.34,1.287671233
Bajra,36.0,54,1925.0,581.0,kharif,120,40,20,5.46,654.34,1.287671233
Moong(Green Gram),36.0,54,1150.0,174.0,kharif,120,40,20,5.46,654.34,1.287671233
Bajra,36.0,54,129.0,39.0,kharif,120,40,20,5.46,654.34,1.287671233
Onion,36.0,54,401.0,7192.0,kharif,120,40,20,5.46,654.34,1.287671233
Beans & Mutter(Vegetable),36.0,54,1.0,5.0,kharif,120,40,20,5.46,654.34,1.287671233
Tobacco,36.0,54,51.0,90.0,kharif,120,40,20,5.46,654.34,1.287671233
Small millets,36.0,54,1420.0,299.0,kharif,120,40,20,5.46,654.34,1.287671233
Small millets,36.0,54,70.0,13.0,kharif,120,40,20,5.46,654.34,1.287671233
Cucumber,36.0,54,51.0,0.0,kharif,120,40,20,5.46,654.34,1.287671233
Sweet potato,36.0,54,30.0,217.0,kharif,120,40,20,5.46,654.34,1.287671233
Horse-gram,36.0,54,421.0,121.0,kharif,120,40,20,5.46,654.34,1.287671233
Soyabean,36.0,54,1131.0,691.0,kharif,120,40,20,5.46,654.34,1.287671233
Linseed,36.0,54,34.0,4.0,kharif,120,40,20,5.46,654.34,1.287671233
Wheat,36.0,54,393.0,88.0,kharif,120,40,20,5.46,654.34,1.287671233
Moong(Green Gram),36.0,54,1078.0,747.0,kharif,120,40,20,5.46,654.34,1.287671233
Dry chillies,36.0,54,58.0,214.0,kharif,120,40,20,5.46,654.34,1.287671233
Ragi,36.0,54,472.0,752.0,kharif,120,40,20,5.46,654.34,1.287671233
Dry chillies,36.0,54,1754.0,5658.0,kharif,120,40,20,5.46,654.34,1.287671233
Linseed,36.0,54,15.0,4.0,kharif,120,40,20,5.46,654.34,1.287671233
Arecanut,36.0,54,217.0,150.0,kharif,120,40,20,5.46,654.34,1.287671233
Bajra,36.0,54,1000.0,3000.0,kharif,120,40,20,5.46,654.34,1.287671233
Ragi,36.0,54,2000.0,4000.0,kharif,120,40,20,5.46,654.34,1.287671233
Safflower,36.0,54,113.0,44.0,kharif,120,40,20,5.46,654.34,1.287671233
Turmeric,36.0,54,4.0,40.0,kharif,120,40,20,5.46,654.34,1.287671233
Arhar/Tur,36.0,54,316.0,92.0,kharif,120,40,20,5.46,654.34,1.287671233
Ragi,36.0,54,1122.0,2458.0,kharif,120,40,20,5.46,654.34,1.287671233
Coriander,36.0,54,4470.0,1797.0,kharif,120,40,20,5.46,654.34,1.287671233
Dry chillies,36.0,54,1968.0,7307.0,kharif,120,40,20,5.46,654.34,1.287671233
Ragi,36.0,54,1876.0,3343.0,kharif,120,40,20,5.46,654.34,1.287671233
Jowar,36.0,54,13274.0,8296.0,kharif,120,40,20,5.46,654.34,1.287671233
Arecanut,36.0,54,409.0,182.0,kharif,120,40,20,5.46,654.34,1.287671233
Soyabean,36.0,54,1656.0,2676.0,kharif,120,40,20,5.46,654.34,1.287671233
Jowar,36.0,54,7907.0,3882.0,kharif,120,40,20,5.46,654.34,1.287671233
Wheat,36.0,54,75.0,100.0,kharif,120,40,20,5.46,654.34,1.287671233
Tobacco,36.0,54,140.0,226.0,kharif,120,40,20,5.46,654.34,1.287671233
Cowpea(Lobia),36.0,54,586.0,36.0,kharif,120,40,20,5.46,654.34,1.287671233
Linseed,36.0,54,7.0,3.0,kharif,120,40,20,5.46,654.34,1.287671233
Soyabean,36.0,54,919.0,1671.0,kharif,120,40,20,5.46,654.34,1.287671233
Castor seed,36.0,54,232.0,88.0,kharif,120,40,20,5.46,654.34,1.287671233
Sweet potato,36.0,54,7.0,67.0,kharif,120,40,20,5.46,654.34,1.287671233
Brinjal,36.0,54,407.0,8624.0,kharif,120,40,20,5.46,654.34,1.287671233
Horse-gram,36.0,54,2317.0,1353.0,kharif,120,40,20,5.46,654.34,1.287671233
other oilseeds,36.0,54,13865.0,9431.0,kharif,120,40,20,5.46,654.34,1.287671233
Sunflower,36.0,54,8109.0,6698.0,kharif,120,40,20,5.46,654.34,1.287671233
Coriander,36.0,54,1971.0,1234.0,kharif,120,40,20,5.46,654.34,1.287671233
Moong(Green Gram),36.0,54,129.0,81.0,kharif,120,40,20,5.46,654.34,1.287671233
Tobacco,36.0,54,183.0,309.0,kharif,120,40,20,5.46,654.34,1.287671233
Cashewnut,36.0,54,19.0,7.0,kharif,120,40,20,5.46,654.34,1.287671233
Jowar,36.0,54,13189.0,4234.0,kharif,120,40,20,5.46,654.34,1.287671233
Sunflower,36.0,54,5066.0,1180.0,kharif,120,40,20,5.46,654.34,1.287671233
Coriander,36.0,54,8223.0,4251.0,kharif,120,40,20,5.46,654.34,1.287671233
Moong(Green Gram),36.0,54,586.0,481.0,kharif,120,40,20,5.46,654.34,1.287671233
Sweet potato,36.0,54,4.0,44.0,kharif,120,40,20,5.46,654.34,1.287671233
Sesamum,36.0,54,400.0,100.0,kharif,120,40,20,5.46,654.34,1.287671233
Arhar/Tur,36.0,54,6100.0,1000.0,kharif,120,40,20,5.46,654.34,1.287671233
Moong(Green Gram),36.0,54,300.0,200.0,kharif,120,40,20,5.46,654.34,1.287671233
Castor seed,36.0,54,185.0,35.0,kharif,120,40,20,5.46,654.34,1.287671233
Linseed,36.0,54,28.0,2.0,kharif,120,40,20,5.46,654.34,1.287671233
Horse-gram,36.0,54,3774.0,2004.0,kharif,120,40,20,5.46,654.34,1.287671233
Ragi,36.0,54,1667.0,2405.0,kharif,120,40,20,5.46,654.34,1.287671233
Coriander,36.0,54,60.0,19.0,kharif,120,40,20,5.46,654.34,1.287671233
Castor seed,36.0,54,313.0,88.0,kharif,120,40,20,5.46,654.34,1.287671233
Mesta,36.0,54,5.0,43.0,kharif,120,40,20,5.46,654.34,1.287671233
Sunflower,36.0,54,1358.0,1177.0,kharif,120,40,20,5.46,654.34,1.287671233
Moong(Green Gram),36.0,54,82.0,25.0,kharif,120,40,20,5.46,654.34,1.287671233
Castor seed,36.0,54,234.0,48.0,kharif,120,40,20,5.46,654.34,1.287671233
Other Kharif pulses,36.0,54,1535.0,428.0,kharif,120,40,20,5.46,654.34,1.287671233
Dry chillies,36.0,54,2199.0,4253.0,kharif,120,40,20,5.46,654.34,1.287671233
Other  Rabi pulses,36.0,54,4.0,1.0,kharif,120,40,20,5.46,654.34,1.287671233
Bhindi,36.0,54,340.0,2533.0,kharif,120,40,20,5.46,654.34,1.287671233
Sweet potato,36.0,54,160.0,1739.0,kharif,120,40,20,5.46,654.34,1.287671233
Horse-gram,36.0,54,5495.0,2121.0,kharif,120,40,20,5.46,654.34,1.287671233
Cashewnut,36.0,54,124.0,33.0,kharif,120,40,20,5.46,654.34,1.287671233
Other Vegetables,36.0,54,686.0,0.0,kharif,120,40,20,5.46,654.34,1.287671233
Arhar/Tur,36.0,54,8225.0,1390.0,kharif,120,40,20,5.46,654.34,1.287671233
Mesta,36.0,54,2.0,17.0,kharif,120,40,20,5.46,654.34,1.287671233
Urad,36.0,54,264.0,127.0,kharif,120,40,20,5.46,654.34,1.287671233
Moong(Green Gram),36.0,54,218.0,71.0,kharif,120,40,20,5.46,654.34,1.287671233
Arhar/Tur,36.0,54,7752.0,1869.0,kharif,120,40,20,5.46,654.34,1.287671233
Mesta,36.0,54,2.0,18.0,kharif,120,40,20,5.46,654.34,1.287671233
Bajra,36.0,54,58.0,69.0,kharif,120,40,20,5.46,654.34,1.287671233
Other  Rabi pulses,36.0,54,27.0,6.0,kharif,120,40,20,5.46,654.34,1.287671233
Dry chillies,36.0,54,413.0,1104.0,kharif,120,40,20,5.46,654.34,1.287671233
Ragi,36.0,54,8605.0,7374.0,kharif,120,40,20,5.46,654.34,1.287671233
Horse-gram,36.0,54,2627.0,1532.0,kharif,120,40,20,5.46,654.34,1.287671233
Sesamum,36.0,54,264.0,149.0,kharif,120,40,20,5.46,654.34,1.287671233
Sunflower,36.0,54,5492.0,3852.0,kharif,120,40,20,5.46,654.34,1.287671233
Jowar,36.0,54,1000.0,1000.0,kharif,120,40,20,5.46,654.34,1.287671233
Castor seed,36.0,54,499.0,376.0,kharif,120,40,20,5.46,654.34,1.287671233
Other Kharif pulses,36.0,54,1607.0,783.0,kharif,120,40,20,5.46,654.34,1.287671233
Tobacco,36.0,54,225.0,359.0,kharif,120,40,20,5.46,654.34,1.287671233
Jowar,36.0,54,1302.0,1413.0,kharif,120,40,20,5.46,654.34,1.287671233
Urad,36.0,54,307.0,91.0,kharif,120,40,20,5.46,654.34,1.287671233
Onion,36.0,54,163.0,4015.0,kharif,120,40,20,5.46,654.34,1.287671233
Castor seed,36.0,54,180.0,158.0,kharif,120,40,20,5.46,654.34,1.287671233
Other Kharif pulses,36.0,54,1912.0,541.0,kharif,120,40,20,5.46,654.34,1.287671233
Sesamum,36.0,54,334.0,118.0,kharif,120,40,20,5.46,654.34,1.287671233
Tapioca,36.0,54,15.0,99.0,kharif,120,40,20,5.46,654.34,1.287671233
Horse-gram,36.0,54,3394.0,1806.0,kharif,120,40,20,5.46,654.34,1.287671233
Small millets,36.0,54,379.0,128.0,kharif,120,40,20,5.46,654.34,1.287671233
Linseed,36.0,54,11.0,2.0,kharif,120,40,20,5.46,654.34,1.287671233
Tobacco,36.0,54,51.0,82.0,kharif,120,40,20,5.46,654.34,1.287671233
Cowpea(Lobia),36.0,54,999.0,276.0,kharif,120,40,20,5.46,654.34,1.287671233
Onion,36.0,54,153.0,2921.0,kharif,120,40,20,5.46,654.34,1.287671233
Small millets,36.0,54,228.0,67.0,kharif,120,40,20,5.46,654.34,1.287671233
Bajra,36.0,54,5.0,13.0,kharif,120,40,20,5.46,654.34,1.287671233
Horse-gram,36.0,54,2260.0,1383.0,kharif,120,40,20,5.46,654.34,1.287671233
Sunflower,36.0,54,812.0,414.0,kharif,120,40,20,5.46,654.34,1.287671233
Cabbage,36.0,54,114.0,2140.0,kharif,120,40,20,5.46,654.34,1.287671233
Jowar,36.0,54,12.0,10.0,kharif,120,40,20,5.46,654.34,1.287671233
Pome Granet,36.0,54,78.0,1126.0,kharif,120,40,20,5.46,654.34,1.287671233
Sweet potato,36.0,54,57.0,669.0,kharif,120,40,20,5.46,654.34,1.287671233
Coriander,36.0,54,65.0,39.0,kharif,120,40,20,5.46,654.34,1.287671233
Onion,36.0,54,253.0,5928.0,kharif,120,40,20,5.46,654.34,1.287671233
Urad,36.0,54,1119.0,880.0,kharif,120,40,20,5.46,654.34,1.287671233
Bajra,36.0,54,2071.0,4622.0,kharif,120,40,20,5.46,654.34,1.287671233
other oilseeds,36.0,54,27.0,55.0,kharif,120,40,20,5.46,654.34,1.287671233
Cotton(lint),36.0,54,545.0,1278.0,kharif,120,40,20,5.46,654.34,1.287671233
Other  Rabi pulses,36.0,54,26.0,32.0,kharif,120,40,20,5.46,654.34,1.287671233
Urad,36.0,54,1749.0,2520.0,kharif,120,40,20,5.46,654.34,1.287671233
Korra,36.0,54,1200.0,1100.0,kharif,120,40,20,5.46,654.34,1.287671233
Dry chillies,36.0,54,700.0,1200.0,kharif,120,40,20,5.46,654.34,1.287671233
Maize,36.0,54,1700.0,3600.0,kharif,120,40,20,5.46,654.34,1.287671233
Dry chillies,36.0,54,1100.0,2200.0,kharif,120,40,20,5.46,654.34,1.287671233
Sesamum,36.0,54,2900.0,700.0,kharif,120,40,20,5.46,654.34,1.287671233
Jowar,36.0,54,701.0,179.0,kharif,120,40,20,5.46,654.34,1.287671233
Urad,36.0,54,328.0,200.0,kharif,120,40,20,5.46,654.34,1.287671233
Bajra,36.0,54,3034.0,2005.0,kharif,120,40,20,5.46,654.34,1.287671233
Horse-gram,36.0,54,4.0,2.0,kharif,120,40,20,5.46,654.34,1.287671233
Mesta,36.0,54,4.0,35.0,kharif,120,40,20,5.46,654.34,1.287671233
Small millets,36.0,54,2367.0,1264.0,kharif,120,40,20,5.46,654.34,1.287671233
Linseed,36.0,54,14.0,3.0,kharif,120,40,20,5.46,654.34,1.287671233
Tobacco,36.0,54,5654.0,9185.0,kharif,120,40,20,5.46,654.34,1.287671233
Korra,36.0,54,730.0,548.0,kharif,120,40,20,5.46,654.34,1.287671233
Samai,36.0,54,1364.0,460.0,kharif,120,40,20,5.46,654.34,1.287671233
Jowar,36.0,54,22.0,16.0,kharif,120,40,20,5.46,654.34,1.287671233
Small millets,36.0,54,17.0,9.0,kharif,120,40,20,5.46,654.34,1.287671233
Horse-gram,36.0,54,59.0,29.0,kharif,120,40,20,5.46,654.34,1.287671233
Sesamum,36.0,54,1498.0,73.0,kharif,120,40,20,5.46,654.34,1.287671233
Coriander,36.0,54,30.0,17.0,kharif,120,40,20,5.46,654.34,1.287671233
Sweet potato,36.0,54,75.0,810.0,kharif,120,40,20,5.46,654.34,1.287671233
Groundnut,36.0,54,125.0,120.0,kharif,120,40,20,5.46,654.34,1.287671233
Ragi,36.0,54,506.0,683.0,kharif,120,40,20,5.46,654.34,1.287671233
Groundnut,36.0,54,580.0,977.0,kharif,120,40,20,5.46,654.34,1.287671233
Citrus Fruit,36.0,54,896.0,4738.0,kharif,120,40,20,5.46,654.34,1.287671233
Pome Fruit,36.0,54,361.0,4373.0,kharif,120,40,20,5.46,654.34,1.287671233
Onion,36.0,54,129.0,2189.0,kharif,120,40,20,5.46,654.34,1.287671233
Groundnut,36.0,54,434.0,897.0,kharif,120,40,20,5.46,654.34,1.287671233
Sesamum,36.0,54,1319.0,311.0,kharif,120,40,20,5.46,654.34,1.287671233
Horse-gram,36.0,54,87.0,34.0,kharif,120,40,20,5.46,654.34,1.287671233
Sesamum,36.0,54,1275.0,214.0,kharif,120,40,20,5.46,654.34,1.287671233
Jowar,36.0,54,63.0,184.0,kharif,120,40,20,5.46,654.34,1.287671233
Arecanut,36.0,54,6.0,5.0,kharif,120,40,20,5.46,654.34,1.287671233
Jowar,36.0,54,640.0,476.0,kharif,120,40,20,5.46,654.34,1.287671233
Small millets,36.0,54,1224.0,639.0,kharif,120,40,20,5.46,654.34,1.287671233
Dry chillies,36.0,54,553.0,2469.0,kharif,120,40,20,5.46,654.34,1.287671233
Ragi,36.0,54,552.0,503.0,kharif,120,40,20,5.46,654.34,1.287671233
Horse-gram,36.0,54,552.0,208.0,kharif,120,40,20,5.46,654.34,1.287671233
Turmeric,36.0,54,267.0,1835.0,kharif,120,40,20,5.46,654.34,1.287671233
Maize,36.0,54,983.0,3547.0,kharif,120,40,20,5.46,654.34,1.287671233
Urad,36.0,54,4001.0,1180.0,kharif,120,40,20,5.46,654.34,1.287671233
Onion,36.0,54,26.0,660.0,kharif,120,40,20,5.46,654.34,1.287671233
Coriander,36.0,54,8.0,8.0,kharif,120,40,20,5.46,654.34,1.287671233
Castor seed,36.0,54,46.0,20.0,kharif,120,40,20,5.46,654.34,1.287671233
Ragi,36.0,54,81.0,82.0,kharif,120,40,20,5.46,654.34,1.287671233
Horse-gram,36.0,54,139.0,57.0,kharif,120,40,20,5.46,654.34,1.287671233
Castor seed,36.0,54,46.0,24.0,kharif,120,40,20,5.46,654.34,1.287671233
Bajra,36.0,54,6.0,5.0,kharif,120,40,20,5.46,654.34,1.287671233
other oilseeds,36.0,54,88.0,1858.0,kharif,120,40,20,5.46,654.34,1.287671233
Sunflower,36.0,54,344.0,365.0,kharif,120,40,20,5.46,654.34,1.287671233
Cabbage,36.0,54,22.0,579.0,kharif,120,40,20,5.46,654.34,1.287671233
Cowpea(Lobia),36.0,54,197.0,180.0,kharif,120,40,20,5.46,654.34,1.287671233
Onion,36.0,54,15.0,330.0,kharif,120,40,20,5.46,654.34,1.287671233
Arhar/Tur,36.0,54,465.0,447.0,kharif,120,40,20,5.46,654.34,1.287671233
Groundnut,36.0,54,61.0,114.0,kharif,120,40,20,5.46,654.34,1.287671233
Tobacco,36.0,54,1070.0,2805.0,kharif,120,40,20,5.46,654.34,1.287671233
Gram,36.0,54,134.0,258.0,kharif,120,40,20,5.46,654.34,1.287671233
Sesamum,36.0,54,880.0,185.0,kharif,120,40,20,5.46,654.34,1.287671233
Moong(Green Gram),36.0,54,483.0,324.0,kharif,120,40,20,5.46,654.34,1.287671233
Small millets,36.0,54,469.0,260.0,kharif,120,40,20,5.46,654.34,1.287671233
Cabbage,36.0,54,23.0,284.0,kharif,120,40,20,5.46,654.34,1.287671233
Moong(Green Gram),36.0,54,16204.0,5914.0,kharif,120,40,20,5.46,654.34,1.287671233
Urad,36.0,54,18500.0,7641.0,kharif,120,40,20,5.46,654.34,1.287671233
Jowar,36.0,54,200.0,100.0,kharif,120,40,20,5.46,654.34,1.287671233
Urad,36.0,54,7100.0,1200.0,kharif,120,40,20,5.46,654.34,1.287671233
Sesamum,36.0,54,4700.0,900.0,kharif,120,40,20,5.46,654.34,1.287671233
Jowar,36.0,54,600.0,200.0,kharif,120,40,20,5.46,654.34,1.287671233
Gram,36.0,54,1400.0,2700.0,kharif,120,40,20,5.46,654.34,1.287671233
Moong(Green Gram),36.0,54,12144.0,8622.0,kharif,120,40,20,5.46,654.34,1.287671233
Masoor,36.0,54,977.0,567.0,kharif,120,40,20,5.46,654.34,1.287671233
Gram,36.0,54,1452.0,3453.0,kharif,120,40,20,5.46,654.34,1.287671233
Groundnut,36.0,54,189.0,138.0,kharif,120,40,20,5.46,654.34,1.287671233
Bajra,36.0,54,43.0,43.0,kharif,120,40,20,5.46,654.34,1.287671233
Rapeseed &Mustard,36.0,54,1242.0,324.0,kharif,120,40,20,5.46,654.34,1.287671233
Coriander,36.0,54,115.0,89.0,kharif,120,40,20,5.46,654.34,1.287671233
Sunflower,36.0,54,44.0,48.0,kharif,120,40,20,5.46,654.34,1.287671233
Pome Fruit,36.0,54,307.0,2323.0,kharif,120,40,20,5.46,654.34,1.287671233
Sesamum,36.0,54,16291.0,4773.0,kharif,120,40,20,5.46,654.34,1.287671233
Small millets,36.0,54,46.0,25.0,kharif,120,40,20,5.46,654.34,1.287671233
Cashewnut,36.0,54,150.0,40.0,kharif,120,40,20,5.46,654.34,1.287671233
Papaya,36.0,54,88.0,7991.0,kharif,120,40,20,5.46,654.34,1.287671233
Castor seed,36.0,54,4765.0,3135.0,kharif,120,40,20,5.46,654.34,1.287671233
Small millets,36.0,54,5.0,3.0,kharif,120,40,20,5.46,654.34,1.287671233
Tapioca,36.0,54,5.0,36.0,kharif,120,40,20,5.46,654.34,1.287671233
Jowar,36.0,54,202.0,112.0,kharif,120,40,20,5.46,654.34,1.287671233
Gram,36.0,54,6350.0,9970.0,kharif,120,40,20,5.46,654.34,1.287671233
Sesamum,36.0,54,363.0,83.0,kharif,120,40,20,5.46,654.34,1.287671233
Jowar,36.0,54,723.0,4168.0,kharif,120,40,20,5.46,654.34,1.287671233
Cashewnut,36.0,54,159.0,42.0,kharif,120,40,20,5.46,654.34,1.287671233
Urad,36.0,54,1000.0,1000.0,kharif,120,40,20,5.46,654.34,1.287671233
Moong(Green Gram),36.0,54,3925.0,2390.0,kharif,120,40,20,5.46,654.34,1.287671233
Arhar/Tur,36.0,54,2552.0,2350.0,kharif,120,40,20,5.46,654.34,1.287671233
Rapeseed &Mustard,36.0,54,595.0,15.0,kharif,120,40,20,5.46,654.34,1.287671233
Soyabean,36.0,54,6.0,12.0,kharif,120,40,20,5.46,654.34,1.287671233
Cashewnut,36.0,54,162.0,39.0,kharif,120,40,20,5.46,654.34,1.287671233
Castor seed,36.0,54,1789.0,2596.0,kharif,120,40,20,5.46,654.34,1.287671233
Sesamum,36.0,54,2532.0,1152.0,kharif,120,40,20,5.46,654.34,1.287671233
Cabbage,36.0,54,47.0,1238.0,kharif,120,40,20,5.46,654.34,1.287671233
Mango,36.0,54,703.0,5422.0,kharif,120,40,20,5.46,654.34,1.287671233
Tobacco,36.0,54,1378.0,4775.0,kharif,120,40,20,5.46,654.34,1.287671233
Coriander,36.0,54,1.0,1.0,kharif,120,40,20,5.46,654.34,1.287671233
Ragi,36.0,54,162.0,231.0,kharif,120,40,20,5.46,654.34,1.287671233
Sunflower,36.0,54,16.0,18.0,kharif,120,40,20,5.46,654.34,1.287671233
Groundnut,36.0,54,804.0,1298.0,kharif,120,40,20,5.46,654.34,1.287671233
Bajra,36.0,54,62.0,68.0,kharif,120,40,20,5.46,654.34,1.287671233
Sweet potato,36.0,54,9.0,99.0,kharif,120,40,20,5.46,654.34,1.287671233
Jowar,36.0,54,3000.0,2600.0,kharif,120,40,20,5.46,654.34,1.287671233
Dry chillies,36.0,54,4700.0,7200.0,kharif,120,40,20,5.46,654.34,1.287671233
Ragi,36.0,54,600.0,1100.0,kharif,120,40,20,5.46,654.34,1.287671233
Castor seed,36.0,54,3451.0,652.0,kharif,120,40,20,5.46,654.34,1.287671233
Maize,36.0,54,11.0,53.0,kharif,120,40,20,5.46,654.34,1.287671233
Dry chillies,36.0,54,6246.0,8282.0,kharif,120,40,20,5.46,654.34,1.287671233
Horse-gram,36.0,54,394.0,200.0,kharif,120,40,20,5.46,654.34,1.287671233
Ragi,36.0,54,93.0,150.0,kharif,120,40,20,5.46,654.34,1.287671233
Dry chillies,36.0,54,293.0,335.0,kharif,120,40,20,5.46,654.34,1.287671233
Ragi,36.0,54,909.0,1312.0,kharif,120,40,20,5.46,654.34,1.287671233
Cashewnut,36.0,54,7.0,2.0,kharif,120,40,20,5.46,654.34,1.287671233
Castor seed,36.0,54,3474.0,978.0,kharif,120,40,20,5.46,654.34,1.287671233
Moong(Green Gram),36.0,54,153.0,74.0,kharif,120,40,20,5.46,654.34,1.287671233
Urad,36.0,54,824.0,297.0,kharif,120,40,20,5.46,654.34,1.287671233
Maize,36.0,54,31.0,201.0,kharif,120,40,20,5.46,654.34,1.287671233
Urad,36.0,54,1681.0,1143.0,kharif,120,40,20,5.46,654.34,1.287671233
Jowar,36.0,54,882.0,361.0,kharif,120,40,20,5.46,654.34,1.287671233
Urad,36.0,54,208.0,11.0,kharif,120,40,20,5.46,654.34,1.287671233
Moong(Green Gram),36.0,54,43.0,11.0,kharif,120,40,20,5.46,654.34,1.287671233
Cucumber,36.0,54,17.0,0.0,kharif,120,40,20,5.46,654.34,1.287671233
Tobacco,36.0,54,174.0,170.0,kharif,120,40,20,5.46,654.34,1.287671233
Horse-gram,36.0,54,180.0,65.0,kharif,120,40,20,5.46,654.34,1.287671233
Small millets,36.0,54,231.0,175.0,kharif,120,40,20,5.46,654.34,1.287671233
Jowar,36.0,54,7389.0,3665.0,kharif,120,40,20,5.46,654.34,1.287671233
Wheat,36.0,54,39.0,12.0,kharif,120,40,20,5.46,654.34,1.287671233
Cucumber,36.0,54,22.0,0.0,kharif,120,40,20,5.46,654.34,1.287671233
Tobacco,36.0,54,389.0,489.0,kharif,120,40,20,5.46,654.34,1.287671233
Horse-gram,36.0,54,145.0,63.0,kharif,120,40,20,5.46,654.34,1.287671233
Small millets,36.0,54,72.0,45.0,kharif,120,40,20,5.46,654.34,1.287671233
Jowar,36.0,54,1838.0,632.0,kharif,120,40,20,5.46,654.34,1.287671233
Urad,36.0,54,18.0,11.0,kharif,120,40,20,5.46,654.34,1.287671233
Tobacco,36.0,54,85.0,94.0,kharif,120,40,20,5.46,654.34,1.287671233
Jowar,36.0,54,3595.0,6295.0,kharif,120,40,20,5.46,654.34,1.287671233
Soyabean,36.0,54,3.0,2.0,kharif,120,40,20,5.46,654.34,1.287671233
Bajra,36.0,54,2010.0,2945.0,kharif,120,40,20,5.46,654.34,1.287671233
Dry chillies,36.0,54,3000.0,5000.0,kharif,120,40,20,5.46,654.34,1.287671233
Ragi,36.0,54,23.0,21.0,kharif,120,40,20,5.46,654.34,1.287671233
Sesamum,36.0,54,6693.0,2905.0,kharif,120,40,20,5.46,654.34,1.287671233
Sesamum,36.0,54,133.0,33.0,kharif,120,40,20,5.46,654.34,1.287671233
Horse-gram,36.0,54,687.0,335.0,kharif,120,40,20,5.46,654.34,1.287671233
Small millets,36.0,54,27.0,15.0,kharif,120,40,20,5.46,654.34,1.287671233
Sweet potato,36.0,54,59.0,348.0,kharif,120,40,20,5.46,654.34,1.287671233
Horse-gram,36.0,54,101.0,49.0,kharif,120,40,20,5.46,654.34,1.287671233
Small millets,36.0,54,86.0,80.0,kharif,120,40,20,5.46,654.34,1.287671233
Jowar,36.0,54,4185.0,6344.0,kharif,120,40,20,5.46,654.34,1.287671233
Sesamum,36.0,54,5753.0,2025.0,kharif,120,40,20,5.46,654.34,1.287671233
Cowpea(Lobia),36.0,54,465.0,110.0,kharif,120,40,20,5.46,654.34,1.287671233
Ragi,36.0,54,16.0,19.0,kharif,120,40,20,5.46,654.34,1.287671233
Dry chillies,36.0,54,18.0,23.0,kharif,120,40,20,5.46,654.34,1.287671233
